Artista,Género,Tipo,Nombre,Año,ID
Amon Tobin,electronic,track,Slowly,2000,15J6PrzKaLtvw0dBr9sq72
Nicola Conte,electronic,track,Il Cerchio Rosso,2000,4CEwtD5LZBTKt9ywieNNzO
Goldfrapp,electronic,track,Pilots,2000,5mQufnj3hfd1rnXALgADI6
Enigma,electronic,track,The Screen Behind The Mirror,2000,21ntjyHLb7sVEqNeFWu63F
Morcheeba,electronic,track,World Looking In,2000,7L58q6GuEx27c12drvszhr
Tosca,electronic,track,Doris Dub,2000,3wFL8Zl7r1UlcBqD2zLPQm
Goldfrapp,electronic,track,Paper Bag,2000,1pJXRXQJZAhHGbB5Pyb8Jf
Bowery Electric,electronic,track,Soul City,2000,1bg23PKffo3LYltL0yNBC5
Bonobo,electronic,track,Silver,2000,5LB8Xop5SuozvPINeSSMf5
Hybrid,electronic,track,Accelerator - Live In Tokyo,2000,3tWmNqovmkDaR4WD2bRnEQ
Tosca,electronic,track,Boss On The Boat,2000,6ms6TzsHlZbpVAf7bMeI93
Wax Poetic,electronic,track,Angels,2000,5lzo7Gtu5z7A5kV6he5chD
Alice Deejay,electronic,track,Pronti & Kalmani Hitmix,2000,4gI9bDPjolX117SfFJnISJ
SMiLE.dk,electronic,track,"Kissy, Kissy",2000,2F8gKBTxzoCQpUNoTibQPz
Chateau Flight,electronic,track,Poésie Champêtre,2000,4TuB1ViWznb0Hv3W85rbOv
Dzihan & Kamien,electronic,track,Homebase,2000,4e9wcQjrY8PJPDvUg2Kt0W
Blur,electronic,track,She's So High - Single Version,2000,28Tj1Gc80CcgI3zElL3rgf
Blue States,electronic,track,Your Girl,2000,4iBqN4fvv1j9mvc8sHp8Nu
Oasis,electronic,track,Who Feels Love?,2000,2l7UFx0Uy74r6qWVff5bnR
Thievery Corporation,electronic,track,Samba Tranquille,2000,5a8Ir2wo8GpDDSkWqvZi7S
LTJ Bukem,electronic,track,Journey Inwards,2000,3iLyAY6mucjT2lxrtincYz
Blur,electronic,track,There's No Other Way - Single Version,2000,2qw5UTkURUArvay7phtq8U
Thievery Corporation,electronic,track,Le Monde,2000,5wV6fTRIBubEotV5pjpF3T
St Germain,electronic,track,Land Of...,2000,5HVcJTb111CdGVwJWPyZcn
St Germain,electronic,track,Pont des Arts,2000,6kicsnoSgwTPWYPlxTDB2t
Tosca,electronic,track,Orozco,2000,1dzEjFQAJBmewLjPzD8B3t
Missing Heart,electronic,track,Moonlight Shadow,2000,6trwy7lzjV2Lyga6yDesTQ
Thievery Corporation,electronic,track,So Com Voce,2000,4720QgLxfScGStvX9YcGkA
Marilyn Manson,electronic,track,The Love Song,2000,3jzAsTL0I2OMebMOSDJSKx
Alice Deejay,electronic,track,The Lonely One,2000,2pCY9je7WzYmPDM9DvYE9V
Aqua,electronic,track,Bumble Bees,2000,3BvL8S1xSYTennCDUON13L
Vhen Bautista,electronic,track,Sulisog,2000,7z92qMRzxb1KlCBobccnIR
m.o.v.e,electronic,track,words of the mind ～brandnew journey～,2000,21fiJmimBODnixYuIQ3uPa
Underworld,electronic,track,"Born Slippy (Nuxx) - Live / Brussels, Belgium / 1999",2000,7FbQmbebGIxQKirdl1c1gN
DJ Aligator,electronic,track,The Whistle Song,2000,4YnAKHP8pUPeaOov12tljh
Nicola Conte,electronic,track,Il Cerchio Rosso,2000,4CEwtD5LZBTKt9ywieNNzO
LTJ Bukem,electronic,track,Watercolours,2000,1444onOjS2vvrBP874CWuT
Visage,electronic,track,Fade To Grey,2000,06LHESr4LTtnbZJ4R0xxrG
noonday underground,electronic,track,London,2000,7hO26kUjdOdv8H7cDc4zdg
Marilyn Manson,electronic,track,King Kill 33,2000,4tiwGr2R5zrrHSZK2dtrxR
Marilyn Manson,electronic,track,Target Audience (Narcissus Narcosis),2000,6FSGlp7OeaS9q1riBaCV9s
Jolina Magdangal,electronic,track,Chuva Choo Choo,2000,42c1mEkP7JlDYGgev4wq1Y
Marilyn Manson,electronic,track,Godeatgod,2000,0TOZPx4jGfO5YEMdHZpBeT
666,electronic,track,Dance 2 Disco - DJ Piccolo Radio Mix,2000,5ZtX3gg5GNDbCHhtthA84F
Groove Armada,electronic,track,Dusk You & Me,2000,5SsESuc7gf8om8OgPPQolD
Air,electronic,track,Dark Messages,2000,3vYtQ43IfOEbMuIYKPgFLz
Air,electronic,track,Dirty Trip,2000,2U7An5QXk69V5DOJn05JAx
Greyboy,electronic,track,Genevieve,2000,56OA1afGlN3YTmS2iybZct
Fatboy Slim,electronic,track,Weapon of Choice (feat. Bootsy Collins),2000,6XwA4DnReFDq3CkdrwoFiz
Oasis,electronic,track,Put Yer Money Where Yer Mouth Is,2000,55ViVwGTlOOjgI3n8URYHU
Groove Armada,electronic,track,If Everybody Looked the Same,2000,0HQODNIFH6CVwIRlvGep30
Barcode Brothers,electronic,track,Dooh Dooh,2000,06MaHjSGleJNvfsugH0mFi
Kim Lukas,electronic,track,All I Really Want,2000,2UgQjlPMNpTBZSk15TLa8V
St Germain,electronic,track,What You Think About...,2000,6Sw5aOSeKrUBxenDEzuta7
Lemon Jelly,electronic,track,In The Bath,2000,5FccwnVjJbLIF2azQjCwyP
Roni Size,electronic,track,Idi Banashapan,2000,5gc6ixt4Aaf5DgV2J8JbJo
Vengaboys,electronic,track,Cheekah Bow Bow (That Computer Song),2000,1BHlUmO17Cr6NCAD9o3OYu
Oasis,electronic,track,Little James,2000,1M5YeYo0H6qY5AfZUnoXjc
Underworld,electronic,track,"Rez / Cowgirl - Live / Brussels, Belgium / 1999",2000,3kZUxaKYp0DIXwxO0AcO4f
Orgy,electronic,track,Fiction - Dreams in Digital,2000,6NldY5aZigWeeGIMY41qG6
Fatboy Slim,electronic,track,Star 69,2000,42BBBnUhe01JGQjsE7nJ3g
Oasis,electronic,track,Who Feels Love?,2000,49E0tP6H9Vim0Xe9DtXHpC
Nicola Conte,electronic,track,Bossa Per Due,2000,5gfuPRh2118jWEhuH1tdHw
Air,electronic,track,Empty House,2000,4GJRizoC2rpZIdzZ46z11Q
GAS,electronic,track,Pop 4,2000,6tjzp1mCVaTeK5ZFAye3Ou
Vengaboys,electronic,track,Skinnydippin',2000,59l0iMlz9EkY2Dhw16RLE9
Incognito,electronic,track,Always There - David Morales Remix,2000,2hYAtnubB0xBHm5SBgJRHb
Highland,electronic,track,Solo Tu - X-Mod Radio Mix,2000,3Nk1h5gNzdF5qb6FVuyyQ6
Oasis,electronic,track,Put Yer Money Where Yer Mouth Is,2000,05MTPVr8gRjRgtRYENBiiq
Blue States,electronic,track,Walkabout,2000,5Nwwo7J23HUZtAEFLYvcPc
Alice Deejay,electronic,track,I Can See (See It In Your Eyes),2000,6zmF1ahOh37GJyITvqYTL8
Yonderboi,electronic,track,Riders On the Storm,2000,3uI0EptPACbrdR1Dq20oWu
Omar,electronic,track,Be Thankful,2000,2bULDC7iIk43NXgGKA4vPB
Mandalay,electronic,track,It's Enough Now,2000,0wfuKOlBZSGTnePCIjnHNK
LTJ Bukem,electronic,track,Inner Guidance,2000,48PIssAZnxPgEvcEc9belU
Andreid,electronic,track,Voyage - Remix,2000,5OKFwd0POysPIvokC3PmDv
